ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,month,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,days_since_launch,year
2013-07-01,16650,16.309987987987984,74.8,78.1,73.4,7.8,0.0,7,True,False,False,False,False,False,0,2013
2013-07-02,22745,15.968826115629804,76.1,82.9,73.0,8.0,0.73,7,False,False,False,False,True,False,1,2013
2013-07-03,21864,16.238808086351995,78.5,84.9,73.9,8.8,0.06,7,False,False,False,False,False,True,2,2013
2013-07-04,22326,21.21847397652961,82.0,91.0,73.9,8.6,0.96,7,False,False,False,True,False,False,3,2013
2013-07-05,21842,18.040443488081067,84.4,93.0,75.9,9.0,0.0,7,False,False,False,False,False,False,4,2013
2013-07-06,20467,19.326261787267303,87.0,95.0,77.0,9.3,0.0,7,False,True,False,False,False,False,5,2013
2013-07-07,20477,18.63832348488548,88.8,98.1,79.0,8.8,0.0,7,False,False,True,False,False,False,6,2013
2013-07-08,21615,21.49216439201171,83.7,98.1,75.0,8.9,0.0,7,True,False,False,False,False,False,7,2013
2013-07-09,26641,16.098854522477883,82.6,91.0,75.0,6.0,0.0,7,False,False,False,False,True,False,8,2013
2013-07-10,25732,15.531954375874394,82.0,91.0,75.0,8.7,0.08,7,False,False,False,False,False,True,9,2013
2013-07-11,24417,16.828634421373085,82.3,91.0,75.0,7.6,0.02,7,False,False,False,True,False,False,10,2013
2013-07-12,19006,15.635127503595356,75.4,86.0,72.0,9.1,0.0,7,False,False,False,False,False,False,11,2013
2013-07-13,26119,18.615661013055625,71.4,78.1,68.0,10.5,0.23,7,False,True,False,False,False,False,12,2013
2013-07-14,29287,19.36267115102264,80.2,93.9,69.1,6.0,0.01,7,False,False,True,False,False,False,13,2013
2013-07-15,28069,15.318282328072488,87.2,93.9,72.0,7.8,0.0,7,True,False,False,False,False,False,14,2013
2013-07-16,29842,15.128550923753991,86.5,93.9,79.0,7.9,0.0,7,False,False,False,False,True,False,15,2013
2013-07-17,30550,14.669449536279323,87.4,97.0,78.1,4.0,0.0,7,False,False,False,False,False,True,16,2013
2013-07-18,28869,14.380492338956437,89.3,100.0,78.1,6.3,0.0,7,False,False,False,True,False,False,17,2013
2013-07-19,26591,14.67105286249734,92.5,100.0,82.9,8.9,0.0,7,False,False,False,False,False,False,18,2013
2013-07-20,25278,17.947821557612688,89.2,100.0,82.9,11.3,0.0,7,False,True,False,False,False,False,19,2013
2013-07-21,30297,18.70789902190536,82.2,95.0,77.0,7.6,0.0,7,False,False,True,False,False,False,20,2013
2013-07-22,25979,14.700189255424254,77.1,87.1,75.0,8.3,0.0,7,True,False,False,False,False,False,21,2013
